,Symbol,Date,Open,High,Low,Close,Volume,Return
970,AHL,2024-11-26,712.0,714.9,701.5,710.0,9191.0,
969,AHL,2024-11-27,712.0,730.0,701.1,724.0,14919.0,0.019718309859154903
968,AHL,2024-11-28,725.1,740.0,725.1,730.0,20929.0,0.008287292817679592
967,AHL,2024-12-01,715.4,733.0,703.0,728.7,10062.0,-0.0017808219178081508
966,AHL,2024-12-02,743.2,743.2,720.0,730.0,12049.0,0.0017839989021544156
965,AHL,2024-12-03,720.0,743.0,720.0,738.0,14183.0,0.010958904109588996
964,AHL,2024-12-04,724.0,801.1,724.0,775.0,23622.0,0.050135501355013545
963,AHL,2024-12-05,762.1,777.0,740.3,741.0,10166.0,-0.04387096774193544
962,AHL,2024-12-08,741.0,742.0,720.1,727.0,11265.0,-0.018893387314439902
961,AHL,2024-12-09,741.5,741.5,717.0,729.0,6067.0,0.0027510316368637433
960,AHL,2024-12-10,720.2,734.6,715.0,716.0,5127.0,-0.017832647462277085
959,AHL,2024-12-11,730.3,744.9,715.0,737.0,9055.0,0.029329608938547524
958,AHL,2024-12-12,725.0,769.0,725.0,734.0,16085.0,-0.004070556309362261
957,AHL,2024-12-16,722.1,736.5,701.1,705.0,9891.0,-0.03950953678474112
956,AHL,2024-12-17,706.0,710.0,690.0,704.0,8624.0,-0.0014184397163120588
955,AHL,2024-12-18,705.0,714.0,689.1,714.0,6952.0,0.014204545454545414
954,AHL,2024-12-19,700.1,708.0,692.1,698.0,4486.0,-0.022408963585434205
953,AHL,2024-12-22,695.0,720.0,687.1,710.0,9706.0,0.017191977077363862
952,AHL,2024-12-23,710.0,734.9,704.5,734.0,11149.0,0.033802816901408406
951,AHL,2024-12-24,734.0,748.5,720.0,732.0,13051.0,-0.0027247956403270157
950,AHL,2024-12-26,732.0,735.0,715.0,730.0,3868.0,-0.002732240437158473
949,AHL,2024-12-29,730.0,730.0,706.0,719.0,3352.0,-0.015068493150684925
948,AHL,2024-12-31,705.0,705.0,676.2,694.0,7690.0,-0.03477051460361613
947,AHL,2025-01-01,685.0,727.0,685.0,710.0,4209.0,0.023054755043227626
946,AHL,2025-01-02,696.4,719.0,696.4,718.9,9477.0,0.012535211267605595
945,AHL,2025-01-05,707.4,731.0,707.4,730.9,10644.0,0.016692168590902723
944,AHL,2025-01-06,730.9,745.0,730.0,740.0,9176.0,0.012450403611985239
943,AHL,2025-01-07,740.0,751.0,726.0,736.9,6260.0,-0.004189189189189202
942,AHL,2025-01-08,735.2,771.0,735.2,764.9,22957.0,0.0379970145202877
941,AHL,2025-01-09,768.0,786.0,766.1,771.0,28841.0,0.007974898679566023
940,AHL,2025-01-12,760.5,778.0,760.5,772.0,6054.0,0.0012970168612191912
939,AHL,2025-01-13,772.0,772.0,750.0,750.6,17174.0,-0.02772020725388602
938,AHL,2025-01-15,750.0,769.8,750.0,760.0,8679.0,0.01252331468158796
937,AHL,2025-01-16,760.0,805.0,760.0,787.0,35755.0,0.03552631578947363
936,AHL,2025-01-19,780.0,812.0,780.0,812.0,24310.0,0.031766200762388896
935,AHL,2025-01-20,824.9,824.9,796.0,800.0,15489.0,-0.014778325123152691
934,AHL,2025-01-21,800.0,816.0,784.0,803.0,16720.0,0.00374999999999992
933,AHL,2025-01-22,813.6,818.9,803.2,817.0,12336.0,0.01743462017434627
932,AHL,2025-01-23,833.0,833.0,816.0,823.0,16202.0,0.007343941248469932
931,AHL,2025-01-26,815.1,843.5,815.0,835.0,18122.0,0.014580801944106936
930,AHL,2025-01-27,850.0,850.0,804.0,829.0,23012.0,-0.007185628742514938
929,AHL,2025-01-28,820.0,844.9,807.5,835.0,17389.0,0.007237635705669376
928,AHL,2025-02-02,825.0,855.0,822.1,834.0,31804.0,-0.0011976047904191933
927,AHL,2025-02-03,850.0,850.0,818.0,826.0,25640.0,-0.00959232613908878
926,AHL,2025-02-04,842.5,842.5,815.1,827.0,18969.0,0.001210653753026536
925,AHL,2025-02-05,827.0,859.0,827.0,840.5,17930.0,0.016324062877871803
924,AHL,2025-02-06,840.0,850.0,821.5,833.0,15137.0,-0.008923259964306984
923,AHL,2025-02-09,821.2,842.0,821.0,824.5,13520.0,-0.010204081632653073
922,AHL,2025-02-10,824.0,830.0,800.0,810.0,10906.0,-0.0175864160097029
921,AHL,2025-02-11,823.0,842.0,814.0,814.0,4425.0,0.004938271604938205
920,AHL,2025-02-12,814.0,846.6,814.0,837.0,15152.0,0.02825552825552835
919,AHL,2025-02-13,845.0,848.0,825.0,840.0,9729.0,0.0035842293906809264
918,AHL,2025-02-16,845.0,845.0,825.0,825.0,8812.0,-0.017857142857142905
917,AHL,2025-02-17,811.0,891.0,811.0,849.0,17591.0,0.029090909090909056
916,AHL,2025-02-18,860.0,865.9,827.0,831.0,15236.0,-0.021201413427561877
915,AHL,2025-02-20,820.0,836.0,819.9,836.0,13336.0,0.006016847172081841
914,AHL,2025-02-23,819.3,829.0,815.0,818.0,6217.0,-0.021531100478468845
913,AHL,2025-02-24,815.0,831.0,805.1,828.0,5750.0,0.012224938875305513
912,AHL,2025-02-25,828.0,835.0,815.9,824.0,4771.0,-0.004830917874396157
911,AHL,2025-02-27,810.2,839.9,791.0,804.0,18665.0,-0.024271844660194164
910,AHL,2025-03-02,805.0,806.0,774.3,785.0,19067.0,-0.023631840796019876
909,AHL,2025-03-03,775.1,785.0,744.8,770.0,27785.0,-0.019108280254777066
908,AHL,2025-03-04,770.0,783.0,749.0,759.4,11746.0,-0.01376623376623376
907,AHL,2025-03-05,760.0,772.0,745.0,759.0,8596.0,-0.0005267316302343117
906,AHL,2025-03-06,760.0,770.0,752.0,764.0,8598.0,0.006587615283267567
905,AHL,2025-03-09,770.0,784.8,746.0,755.0,3256.0,-0.011780104712041939
904,AHL,2025-03-10,742.0,768.6,735.0,744.0,8226.0,-0.014569536423841067
903,AHL,2025-03-11,755.0,755.0,705.6,734.0,10469.0,-0.013440860215053752
902,AHL,2025-03-12,745.0,745.0,716.0,723.0,4350.0,-0.01498637602179842
901,AHL,2025-03-16,715.0,725.0,681.1,698.0,3455.0,-0.03457814661134162
900,AHL,2025-03-17,690.4,710.0,690.4,705.0,3846.0,0.01002865329512903
899,AHL,2025-03-18,692.0,719.0,692.0,707.1,6479.0,0.0029787234042553123
898,AHL,2025-03-19,719.0,719.0,706.1,711.0,5916.0,0.005515485787017438
897,AHL,2025-03-20,708.0,757.0,707.1,750.83,14801.0,0.05601969057665257
896,AHL,2025-03-23,765.8,765.8,719.4,725.7,7323.0,-0.0334696269461795
895,AHL,2025-03-24,715.0,748.0,713.0,745.47,6888.0,0.027242662257131123
