Symbol,Date,Open,High,Low,Close,Volume,Return
AHL,2024-11-26,712.0,714.9,701.5,710.0,9191.0,
AHL,2024-11-27,712.0,730.0,701.1,724.0,14919.0,0.0197183098591549
AHL,2024-11-28,725.1,740.0,725.1,730.0,20929.0,0.0082872928176795
AHL,2024-12-01,715.4,733.0,703.0,728.7,10062.0,-0.0017808219178081
AHL,2024-12-02,743.2,743.2,720.0,730.0,12049.0,0.0017839989021544
AHL,2024-12-03,720.0,743.0,720.0,738.0,14183.0,0.0109589041095889
AHL,2024-12-04,724.0,801.1,724.0,775.0,23622.0,0.0501355013550135
AHL,2024-12-05,762.1,777.0,740.3,741.0,10166.0,-0.0438709677419354
AHL,2024-12-08,741.0,742.0,720.1,727.0,11265.0,-0.0188933873144399
AHL,2024-12-09,741.5,741.5,717.0,729.0,6067.0,0.0027510316368637
AHL,2024-12-10,720.2,734.6,715.0,716.0,5127.0,-0.017832647462277
AHL,2024-12-11,730.3,744.9,715.0,737.0,9055.0,0.0293296089385475
AHL,2024-12-12,725.0,769.0,725.0,734.0,16085.0,-0.0040705563093622
AHL,2024-12-16,722.1,736.5,701.1,705.0,9891.0,-0.0395095367847411
AHL,2024-12-17,706.0,710.0,690.0,704.0,8624.0,-0.001418439716312
AHL,2024-12-18,705.0,714.0,689.1,714.0,6952.0,0.0142045454545454
AHL,2024-12-19,700.1,708.0,692.1,698.0,4486.0,-0.0224089635854342
AHL,2024-12-22,695.0,720.0,687.1,710.0,9706.0,0.0171919770773638
AHL,2024-12-23,710.0,734.9,704.5,734.0,11149.0,0.0338028169014084
AHL,2024-12-24,734.0,748.5,720.0,732.0,13051.0,-0.002724795640327
AHL,2024-12-26,732.0,735.0,715.0,730.0,3868.0,-0.0027322404371584
AHL,2024-12-29,730.0,730.0,706.0,719.0,3352.0,-0.0150684931506849
AHL,2024-12-31,705.0,705.0,676.2,694.0,7690.0,-0.0347705146036161
AHL,2025-01-01,685.0,727.0,685.0,710.0,4209.0,0.0230547550432276
AHL,2025-01-02,696.4,719.0,696.4,718.9,9477.0,0.0125352112676055
AHL,2025-01-05,707.4,731.0,707.4,730.9,10644.0,0.0166921685909027
AHL,2025-01-06,730.9,745.0,730.0,740.0,9176.0,0.0124504036119852
AHL,2025-01-07,740.0,751.0,726.0,736.9,6260.0,-0.0041891891891892
AHL,2025-01-08,735.2,771.0,735.2,764.9,22957.0,0.0379970145202877
AHL,2025-01-09,768.0,786.0,766.1,771.0,28841.0,0.007974898679566
AHL,2025-01-12,760.5,778.0,760.5,772.0,6054.0,0.0012970168612191
AHL,2025-01-13,772.0,772.0,750.0,750.6,17174.0,-0.027720207253886
AHL,2025-01-15,750.0,769.8,750.0,760.0,8679.0,0.0125233146815879
AHL,2025-01-16,760.0,805.0,760.0,787.0,35755.0,0.0355263157894736
AHL,2025-01-19,780.0,812.0,780.0,812.0,24310.0,0.0317662007623888
AHL,2025-01-20,824.9,824.9,796.0,800.0,15489.0,-0.0147783251231526
AHL,2025-01-21,800.0,816.0,784.0,803.0,16720.0,0.0037499999999999
AHL,2025-01-22,813.6,818.9,803.2,817.0,12336.0,0.0174346201743462
AHL,2025-01-23,833.0,833.0,816.0,823.0,16202.0,0.0073439412484699
AHL,2025-01-26,815.1,843.5,815.0,835.0,18122.0,0.0145808019441069
AHL,2025-01-27,850.0,850.0,804.0,829.0,23012.0,-0.0071856287425149
AHL,2025-01-28,820.0,844.9,807.5,835.0,17389.0,0.0072376357056693
AHL,2025-02-02,825.0,855.0,822.1,834.0,31804.0,-0.0011976047904191
AHL,2025-02-03,850.0,850.0,818.0,826.0,25640.0,-0.0095923261390887
AHL,2025-02-04,842.5,842.5,815.1,827.0,18969.0,0.0012106537530265
AHL,2025-02-05,827.0,859.0,827.0,840.5,17930.0,0.0163240628778718
AHL,2025-02-06,840.0,850.0,821.5,833.0,15137.0,-0.0089232599643069
AHL,2025-02-09,821.2,842.0,821.0,824.5,13520.0,-0.010204081632653
AHL,2025-02-10,824.0,830.0,800.0,810.0,10906.0,-0.0175864160097029
AHL,2025-02-11,823.0,842.0,814.0,814.0,4425.0,0.0049382716049382
AHL,2025-02-12,814.0,846.6,814.0,837.0,15152.0,0.0282555282555283
AHL,2025-02-13,845.0,848.0,825.0,840.0,9729.0,0.0035842293906809
AHL,2025-02-16,845.0,845.0,825.0,825.0,8812.0,-0.0178571428571429
AHL,2025-02-17,811.0,891.0,811.0,849.0,17591.0,0.029090909090909
AHL,2025-02-18,860.0,865.9,827.0,831.0,15236.0,-0.0212014134275618
AHL,2025-02-20,820.0,836.0,819.9,836.0,13336.0,0.0060168471720818
AHL,2025-02-23,819.3,829.0,815.0,818.0,6217.0,-0.0215311004784688
AHL,2025-02-24,815.0,831.0,805.1,828.0,5750.0,0.0122249388753055
AHL,2025-02-25,828.0,835.0,815.9,824.0,4771.0,-0.0048309178743961
AHL,2025-02-27,810.2,839.9,791.0,804.0,18665.0,-0.0242718446601941
AHL,2025-03-02,805.0,806.0,774.3,785.0,19067.0,-0.0236318407960198
AHL,2025-03-03,775.1,785.0,744.8,770.0,27785.0,-0.019108280254777
AHL,2025-03-04,770.0,783.0,749.0,759.4,11746.0,-0.0137662337662337
AHL,2025-03-05,760.0,772.0,745.0,759.0,8596.0,-0.0005267316302343
AHL,2025-03-06,760.0,770.0,752.0,764.0,8598.0,0.0065876152832675
AHL,2025-03-09,770.0,784.8,746.0,755.0,3256.0,-0.0117801047120419
AHL,2025-03-10,742.0,768.6,735.0,744.0,8226.0,-0.014569536423841
AHL,2025-03-11,755.0,755.0,705.6,734.0,10469.0,-0.0134408602150537
AHL,2025-03-12,745.0,745.0,716.0,723.0,4350.0,-0.0149863760217984
AHL,2025-03-16,715.0,725.0,681.1,698.0,3455.0,-0.0345781466113416
AHL,2025-03-17,690.4,710.0,690.4,705.0,3846.0,0.010028653295129
AHL,2025-03-18,692.0,719.0,692.0,707.1,6479.0,0.0029787234042553
AHL,2025-03-19,719.0,719.0,706.1,711.0,5916.0,0.0055154857870174
AHL,2025-03-20,708.0,757.0,707.1,750.83,14801.0,0.0560196905766525
AHL,2025-03-23,765.8,765.8,719.4,725.7,7323.0,-0.0334696269461795
AHL,2025-03-24,715.0,748.0,713.0,745.47,6888.0,0.0272426622571311
AHL,2025-03-25,734.0,734.0,710.0,719.98,4507.0,-0.0341931935557433
AHL,2025-03-26,734.0,734.0,706.2,723.84,3571.0,0.005361260035001
AHL,2025-03-27,715.0,753.0,712.3,730.82,3842.0,0.0096430150309461
AHL,2025-03-30,745.0,746.0,730.1,738.1,4301.0,0.0099614132070824
AHL,2025-04-01,740.0,751.7,720.0,745.38,10230.0,0.0098631621731473
AHL,2025-04-02,750.0,750.0,730.7,744.59,2654.0,-0.0010598620837692
AHL,2025-04-03,732.0,746.6,729.8,732.79,6713.0,-0.0158476476987335
AHL,2025-04-07,720.0,730.0,717.0,720.54,1910.0,-0.0167169311808293
AHL,2025-04-08,710.0,749.0,710.0,729.12,2081.0,0.0119077358647681
AHL,2025-04-09,734.0,740.0,727.0,733.51,1273.0,0.0060209567698046
AHL,2025-04-10,719.8,747.5,719.8,722.07,1883.0,-0.0155962427233438
AHL,2025-04-13,715.0,725.0,711.1,716.35,1976.0,-0.0079216696442173
AHL,2025-04-15,717.0,730.0,715.0,721.62,3200.0,0.0073567390242199
AHL,2025-04-16,719.1,721.6,715.0,717.36,1901.0,-0.0059033840525484
AHL,2025-04-17,714.3,730.0,714.3,720.68,4387.0,0.0046280807404928
AHL,2025-04-20,720.0,738.0,715.0,734.25,4587.0,0.0188294388632959
AHL,2025-04-21,735.0,748.0,730.0,736.69,22984.0,0.0033231188287368
AHL,2025-04-22,725.0,750.0,725.0,738.9,1590.0,0.002999904980385
AHL,2025-04-23,730.0,732.2,717.5,724.39,2200.0,-0.0196372986872377
AHL,2025-04-24,735.0,737.0,713.0,732.27,3308.0,0.0108781181407804
AHL,2025-04-27,725.0,726.0,708.0,709.2,4871.0,-0.0315047728296938
AHL,2025-04-28,700.0,718.0,700.0,703.81,1642.0,-0.0076001128031586
AHL,2025-04-29,706.0,715.5,677.0,699.74,10155.0,-0.0057828107017517
AHL,2025-04-30,700.0,710.9,686.0,693.77,4967.0,-0.0085317403607054
AHL,2025-05-04,707.0,721.0,685.0,691.0,1243.0,-0.0039926776885711
